endereco,valor,area,iptu,condominio,quarto,vaga,banheiro,bairro,tipo,area_servico,espaco_gourmet,piscina,elevador,salao_de_festa,academia,playground,quadra_de_esporte,portaria_24_horas,varanda_gourmet,sauna,spa,comercio,latitude,longitude
Residencial Reserva Bella Vista,1490000,330,NA,640,4,4,4,antares,casas_de_condominio,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Rua Maria Salete de Araújo Oliveira,700000,350,NA,NA,5,2,2,antares,casas_de_condominio,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Loteamento Vert Paradiso,850000,300,NA,NA,4,4,5,antares,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Residencial Reserva Bella Vista,1500000,300,NA,630,4,2,5,antares,casas_de_condominio,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Rua João Correia da Costa,820000,160,NA,525,4,3,4,antares,casas_de_condominio,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.62637233647392,-35.7497024051658
Rua Maria Salete de Araújo Oliveira,530000,146,NA,207,3,1,3,antares,casas_de_condominio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Avenida Menino Marcelo,470000,90,NA,300,3,NA,1,antares,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Avenida Menino Marcelo,470000,90,NA,NA,3,1,3,antares,casas_de_condominio,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Residencial Reserva Bella Vista,1490000,279,NA,645,4,4,4,antares,casas_de_condominio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Avenida Menino Marcelo,449900,90,NA,300,3,1,3,antares,casas_de_condominio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Rua Governador Francisco Mello,1200000,122,1324,460,4,4,4,antares,casas_de_condominio,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Residencial Reserva Bella Vista,1500000,389,NA,700,5,4,6,antares,casas_de_condominio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Residencial Reserva Bella Vista,580000,140,NA,NA,3,1,1,antares,casas_de_condominio,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Avenida Menino Marcelo,1350000,332,NA,580,4,4,5,antares,casas_de_condominio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Avenida Menino Marcelo,780000,305,11,450,5,3,6,antares,casas_de_condominio,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Residencial Reserva Bella Vista,1450000,288,NA,600,4,4,4,antares,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Residencial Reserva Bella Vista,1650000,315,NA,450,4,3,5,antares,casas_de_condominio,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Residencial Reserva Bella Vista,1480000,317,NA,NA,3,2,4,antares,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Rua Governador Francisco Mello,950000,190,344,360,3,2,3,antares,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Avenida Menino Marcelo,580000,138,NA,NA,3,1,3,antares,casas_de_condominio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Rua Governador Francisco Mello,900000,160,NA,350,3,2,2,antares,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
